,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
908,ACH,2020-03-09,611435,19-GP-ROSN,SUEZ,562.9,0.0,,
916,ACH,2020-03-06,601000,19-GP-ROSN,LANCERY SAFIRE,397.38,0.0,,
917,ACH,2020-03-06,601000,19-GP-ROSN,KRÖMM GROUP,368.3,0.0,,
924,ACH,2020-03-03,601020,19-GP-ROSN,NORMAFER,2405.96,0.0,,
938,ACH,2020-03-01,601000,19-GP-ROSN,NDF MARIO CINCA,233.78,0.0,,
940,ACH,2020-02-29,611436,19-GP-ROSN,ADN PROTECTION,525.0,0.0,,
941,ACH,2020-02-29,611436,19-GP-ROSN,ADN PROTECTION,450.0,0.0,,
947,ACH,2020-02-29,613101,19-GP-ROSN,LOXAM,56.9,0.0,,
948,ACH,2020-02-29,613101,19-GP-ROSN,LOXAM,115.01,0.0,,
949,ACH,2020-02-29,613101,19-GP-ROSN,LOXAM,698.66,0.0,,
954,ACH,2020-02-29,613110,19-GP-ROSN,KILOTOU MODULE,2420.8,0.0,,
956,ACH,2020-02-29,611423,19-GP-ROSN,CLJT CONSEILS,1500.0,0.0,,
963,ACH,2020-02-29,215500,19-GP-ROSN,LOGA GRUE,6600.0,0.0,,
965,ACH,2020-02-29,608900,19-GP-ROSN,LOGA GRUE,6300.0,0.0,,
966,ACH,2020-02-29,613104,19-GP-ROSN,LOGA GRUE,2271.15,0.0,,
967,ACH,2020-02-29,608900,19-GP-ROSN,LOGA GRUE,16100.0,0.0,,
976,ACH,2020-02-29,621500,19-GP-ROSN,OMEGA INTERIM,2765.0,0.0,,
983,ACH,2020-02-29,601030,19-GP-ROSN,SYNEOS / IDF,5633.75,0.0,,
990,ACH,2020-02-29,613511,19-GP-ROSN,STI,680.0,0.0,,
994,ACH,2020-02-29,621100,19-GP-ROSN,DEFI TECHNOLOGY,1326.75,0.0,,
997,ACH,2020-02-29,608900,19-GP-ROSN,LOGA GRUE,8160.6,0.0,,
998,ACH,2020-02-29,613104,19-GP-ROSN,LOGA GRUE,720.0,0.0,,
